dataset,experiment,instance_auroc_Mean,instance_auroc_bottle,instance_auroc_cable,instance_auroc_candle,instance_auroc_capsule,instance_auroc_capsules,instance_auroc_carpet,instance_auroc_cashew,instance_auroc_chewinggum,instance_auroc_fryum,instance_auroc_grid,instance_auroc_hazelnut,instance_auroc_leather,instance_auroc_macaroni1,instance_auroc_macaroni2,instance_auroc_metal_nut,instance_auroc_pcb1,instance_auroc_pcb2,instance_auroc_pcb3,instance_auroc_pcb4,instance_auroc_pill,instance_auroc_pipe_fryum,instance_auroc_screw,instance_auroc_tile,instance_auroc_toothbrush,instance_auroc_transistor,instance_auroc_wood,instance_auroc_zipper,full_pixel_auroc_Mean,full_pixel_auroc_bottle,full_pixel_auroc_cable,full_pixel_auroc_candle,full_pixel_auroc_capsule,full_pixel_auroc_capsules,full_pixel_auroc_carpet,full_pixel_auroc_cashew,full_pixel_auroc_chewinggum,full_pixel_auroc_fryum,full_pixel_auroc_grid,full_pixel_auroc_hazelnut,full_pixel_auroc_leather,full_pixel_auroc_macaroni1,full_pixel_auroc_macaroni2,full_pixel_auroc_metal_nut,full_pixel_auroc_pcb1,full_pixel_auroc_pcb2,full_pixel_auroc_pcb3,full_pixel_auroc_pcb4,full_pixel_auroc_pill,full_pixel_auroc_pipe_fryum,full_pixel_auroc_screw,full_pixel_auroc_tile,full_pixel_auroc_toothbrush,full_pixel_auroc_transistor,full_pixel_auroc_wood,full_pixel_auroc_zipper,anomaly_pixel_auroc_Mean,anomaly_pixel_auroc_bottle,anomaly_pixel_auroc_cable,anomaly_pixel_auroc_candle,anomaly_pixel_auroc_capsule,anomaly_pixel_auroc_capsules,anomaly_pixel_auroc_carpet,anomaly_pixel_auroc_cashew,anomaly_pixel_auroc_chewinggum,anomaly_pixel_auroc_fryum,anomaly_pixel_auroc_grid,anomaly_pixel_auroc_hazelnut,anomaly_pixel_auroc_leather,anomaly_pixel_auroc_macaroni1,anomaly_pixel_auroc_macaroni2,anomaly_pixel_auroc_metal_nut,anomaly_pixel_auroc_pcb1,anomaly_pixel_auroc_pcb2,anomaly_pixel_auroc_pcb3,anomaly_pixel_auroc_pcb4,anomaly_pixel_auroc_pill,anomaly_pixel_auroc_pipe_fryum,anomaly_pixel_auroc_screw,anomaly_pixel_auroc_tile,anomaly_pixel_auroc_toothbrush,anomaly_pixel_auroc_transistor,anomaly_pixel_auroc_wood,anomaly_pixel_auroc_zipper
MVTecAD,IM224_WR50_L2-3_P01_D1024-1024_PS-3_AN-1_S0,0.990974,1.000000,0.996814,,0.979657,,0.983547,,,,0.979114,1.000000,1.000000,,,0.999022,,,,,0.963448,,0.986883,0.989177,1.000000,1.000000,0.992982,0.993960,0.981221,0.984883,0.984160,,0.989524,,0.990692,,,,0.987943,0.986673,0.992788,,,0.983404,,,,,0.977719,,0.995259,0.957361,0.985712,0.963316,0.950175,0.988708,0.973677,0.979620,0.975314,,0.987399,,0.988074,,,,0.983599,0.979003,0.990257,,,0.979223,,,,,0.975749,,0.993841,0.940962,0.979948,0.929715,0.936777,0.985680
MVTecAD,IM448_DINOv2B14reg_L5-11_P01_D768-768_PS-1_AN-3_S0,0.987240,1.000000,0.963643,,0.953331,,0.999599,,,,0.998329,0.994286,1.000000,,,1.000000,,,,,0.978996,,0.936257,1.000000,0.997222,0.990000,0.998246,0.998687,0.963271,0.982343,0.939602,,0.982468,,0.982881,,,,0.989654,0.994088,0.973693,,,0.975430,,,,,0.963942,,0.987462,0.871644,0.992961,0.936318,0.926091,0.950489,0.948393,0.976148,0.913357,,0.979098,,0.977378,,,,0.985550,0.990647,0.964449,,,0.968673,,,,,0.959044,,0.985765,0.814887,0.990100,0.875576,0.907227,0.938004
MVTecAD,IM224_ConvNeXtV2B_FCMAE_L1-2_P01_D1024-1024_PS-3_AN-1_S0,0.905839,1.000000,0.964768,,0.898883,,0.645265,,,,0.622389,0.988929,0.977242,,,0.986804,,,,,0.936307,,0.726891,0.990981,1.000000,0.980000,0.915351,0.953782,0.958773,0.981726,0.979992,,0.985619,,0.887888,,,,0.821111,0.988885,0.991209,,,0.980867,,,,,0.981068,,0.977564,0.971518,0.983311,0.977807,0.903212,0.969812,0.951724,0.975395,0.970848,,0.982823,,0.898332,,,,0.819299,0.982870,0.988221,,,0.975662,,,,,0.978352,,0.975748,0.961572,0.976541,0.943736,0.884396,0.962065
MVTecAD,IM224_ConvNeXtV2B_FCMAE_L2-3_P01_D1024-1024_PS-3_AN-1_S0,0.859256,0.999206,0.880060,,0.712206,,0.562199,,,,0.619883,0.944286,0.968410,,,0.952590,,,,,0.886252,,0.649518,0.984488,1.000000,0.922083,0.862281,0.945378,0.935234,0.970013,0.949405,,0.966137,,0.838551,,,,0.766313,0.986856,0.987309,,,0.975996,,,,,0.967061,,0.870941,0.967903,0.975734,0.975075,0.877050,0.954174,0.926716,0.959721,0.935340,,0.960910,,0.854327,,,,0.764776,0.980463,0.983027,,,0.969964,,,,,0.962710,,0.870466,0.956369,0.965980,0.939461,0.854584,0.942639
MVTecAD,IM320_ConvNeXtV2B_FCMAE_L1-2_P01_D768-768_PS-5_AN-3_S0,0.646455,0.981746,0.573932,,0.675309,,0.337079,,,,0.512949,0.668036,0.556216,,,0.910068,,,,,0.562875,,0.344333,0.698773,0.752778,0.740625,0.628947,0.753151,0.887187,0.979160,0.850082,,0.959842,,0.719798,,,,0.672470,0.977074,0.926002,,,0.949336,,,,,0.961645,,0.855688,0.897275,0.981374,0.908584,0.750362,0.919118,0.878443,0.972274,0.833534,,0.956147,,0.733735,,,,0.669135,0.970268,0.920179,,,0.938308,,,,,0.957911,,0.858471,0.882376,0.974999,0.855045,0.749854,0.904409
VisA,[DINOv2B_VisA_Pilot] IM448_DINOv2B14reg_L3-5_P010_D768-768_PS-1_AN-5_S0,0.974343,,,0.962347,,0.994000,,0.921546,0.969097,0.967526,,,,0.964063,0.996404,,0.978766,0.969931,0.994268,0.976070,,0.998100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VisA,[DINOv2B_VisA_Pilot] IM448_DINOv2B14reg_L4-5_P009_D768-768_PS-1_AN-5_S0,0.970308,,,0.955051,,0.990151,,0.900825,0.962096,0.967629,,,,0.959219,0.994035,,0.976612,0.968400,0.994528,0.978955,,0.996200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VisA,[DINOv2B_VisA_Pilot] IM448_DINOv2B14reg_L4-5-8_P002_D768-768_PS-1_AN-5_S0,0.962965,,,0.948112,,0.942262,,0.920000,0.987799,0.962577,,,,0.953385,0.922368,,0.977791,0.959816,0.996417,0.989353,,0.995700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VisA,IM448_DINOv2B14reg_L9-11_P01_D768-768_PS-1_AN-3_S0,0.949345,,,0.940918,,0.968074,,0.964227,0.980698,0.959588,,,,0.949167,0.815000,,0.967790,0.934175,0.980459,0.941045,,0.991000,,,,,,,0.976684,,,0.987108,,0.993044,,0.996272,0.987532,0.930079,,,,0.993999,0.975601,,0.995678,0.969263,0.982048,0.917342,,0.992246,,,,,,,0.965918,,,0.979459,,0.986753,,0.993122,0.981131,0.903362,,,,0.990264,0.975514,,0.991673,0.959365,0.971732,0.873807,,0.984829,,,,,,
VisA,IM448_DINOv2B14reg_L11_P01_D768-768_PS-1_AN-5_S0,0.948868,,,0.947857,,0.960489,,0.967320,0.977798,0.964227,,,,0.950573,0.808246,,0.968508,0.935433,0.979026,0.941940,,0.985000,,,,,,,0.973928,,,0.986005,,0.991403,,0.996206,0.987744,0.930962,,,,0.994115,0.959166,,0.995509,0.961763,0.973774,0.918207,,0.992279,,,,,,,0.962445,,,0.977606,,0.983632,,0.993090,0.981080,0.900573,,,,0.990269,0.961271,,0.990963,0.950777,0.961752,0.873445,,0.984881,,,,,,
VisA,IM448_DINOv2B14reg_L5-8-11_P01_D768-768_PS-1_AN-3_S0,0.948602,,,0.948980,,0.970905,,0.962371,0.979998,0.957938,,,,0.951198,0.798772,,0.971585,0.939260,0.980198,0.936418,,0.985600,,,,,,,0.973761,,,0.985762,,0.992572,,0.996411,0.987096,0.920206,,,,0.993264,0.952554,,0.995138,0.972982,0.981096,0.915026,,0.993028,,,,,,,0.962211,,,0.977621,,0.985680,,0.993475,0.980127,0.888930,,,,0.989200,0.953437,,0.990767,0.962255,0.969882,0.868770,,0.986391,,,,,,
VisA,IM224_WR50_L2-3_P01_D1024-1024_PS-3_AN-1_S0,0.948045,,,0.981020,,0.785089,,0.947216,0.988711,0.967629,,,,0.957917,0.804386,,0.991732,0.976716,0.984367,0.994752,,0.997000,,,,,,,0.981769,,,0.991222,,0.995261,,0.978466,0.984800,0.921797,,,,0.993501,0.980686,,0.995688,0.985679,0.990714,0.974274,,0.989142,,,,,,,0.973710,,,0.984598,,0.993475,,0.973522,0.978765,0.904788,,,,0.990234,0.975063,,0.992452,0.971579,0.981026,0.954725,,0.984291,,,,,,
VisA,IM448_DINOv2B14reg_L3-7-11_P01_D768-768_PS-1_AN-3_S0,0.947678,,,0.949133,,0.966829,,0.966804,0.979198,0.956598,,,,0.947344,0.795965,,0.971226,0.939970,0.978700,0.936567,,0.983800,,,,,,,0.973631,,,0.985910,,0.992205,,0.996303,0.987396,0.918847,,,,0.993969,0.951976,,0.995385,0.973517,0.980922,0.914091,,0.993055,,,,,,,0.961971,,,0.977713,,0.985533,,0.993337,0.980468,0.887374,,,,0.989901,0.952817,,0.990955,0.962476,0.969533,0.867135,,0.986417,,,,,,
